text_slangwords,polarity
saya pelanggan baru awalnya sebagai pelanggan baru promo hemat nya sangat menggiurkan dengan banyaknya promo hemat yang besar tetapi sewaktu order untuk pertama kali nya ternyata order dibatalkan oleh sistem dengan alasan yang tidak jelas begitu coba diulang lagi untuk bertransaksi ternyata semua berubah dan promo hemat yang semula besar berubah menjadi kecil atau bahkan hilang sangatsangat kecewa sekali jadi seperti dibohongi,negatif
saya turunkan bintangnya karena kualitas menurunpada photo barang deskripsi jadi scroll sendiri otomatis jadi kalau mau fokus zoom susah sekaliharus pandai menghentikan photo lalu zoom dengan jari sungguh merepotkan percuma makin canggih kalau bikin susah,negatif
lebih baik belanja di shopee ada masalah cepat selesai bahaya belanja di tokopedia bukti unboxing sudah jelas masih saja bela penjual semoga tidak ada yang kena sama seperti saya sudah beli barang pecah ajukan retur refund dipersulit walaupun bukti sudah jelas pilihan penyelesaian masalah hanya diberikan opsi setuju penerusan dana ke penjual semoga cepat tutup,negatif
kekurangan setelah update slide display produk auto geser ga bisa ditahan ga bisa dizoom menyulitkan calon buyer mempelajari produk beda dengan versi apk terdahulu fix it historis display produk yang pernah dibeli skrg tidak ada lagi tampilan produk saat kita dulu pesan saat ini yang tampil bahkan kondisi terbaru bukan terdahulu saat pesan konsumen ga bisa memastikan perbedaan produk yang dulu pernah dia beli dengan produk yang skrg pada link yang sama fix it,negatif
mengecewakan toped yang sekarang saya menggunakan tokopedia sudah sangat lama tapi makin kesini pengiriman barang makin lama dan kurir nya suka di oper oper ke kurir lain emang sih gratis ongkos kirim tapi tidak kaya gitu juga ecommerce orange juga gratis ongkos kirim tapi pengiriman nya tepat dan ga lambat kaya toped sekarang,negatif
saat promo saya check out pakai akun istri ntah tidak ada atau tidak ketemu tidak bisa ganti metode pembayaran kaya si orange akhirnya transaksi saya batalkan saya refresh ulang dan promonya muncul lagi dan saya cekout lagi tapi entah kenapa transaksi dibatalkan sistem dan saya dapat email dibatalkan karena manipulasi transaksi hadehhhhhhhhh,negatif
sejujurnya aplikasinya udh lumayan bagus disini bisa nemu kebanyakan barang yang ga ditemuin di ecommerce lain masalahnya adalah kurir rekomendasi suka lama banget gratis ongkos kirim sih iya tapi masalahnya juga paketnya bisa tertahan di tempat ekspedisi dan baru dilanjut kirim besoknya jadi hari bisa tanpa ada kemajuan apalagi suka pindah ekspedisi dari a ke b ini juga sebab bikin lama kalau di ecommerce lain paket suka datang bahkan sebelum estimasi atau ga sampai estimasi hari kedua,positif
sekarang tokped banyak diskon di banding sebelum nyatapi tidak di ikuti pelayaan jasa pengiriman yang begitu lambat harus nya ada penilaian juga untuk jasa pengirimanlagi pula kurir rekomendasi dari tokped tidak bagus seperti apk sebelah yang bisa pilih kurir saat pengiriman kasih nilai untuk kurir,negatif
saya pengguna tokopedia sudah lama banget sekarang ini kecewa sama pelayanan pilihan ekspedisi pengirimannyadalam pengiriman orderan ekspedisinya gontaganti ekspedisi prosesnya pun lamabiasa hari sampai sekarang bisa sampai hari sampainya perbaiki pilihan ekspedisi kurir rekomendasi pada pilihan gratis ongkirnya lambat banget kalau sudah diperbaiki saya rubah bintangnya terima kasih,negatif
ribetttt banget sistem verifikasi transaksinya beberapa kali transaksi di batalkan sistem diklik bantuan bahkan dilihatkan sk ketentuan promonya alasan yang template banget tanpa ada pemberitahuan spesifik ini lho pelanggarannya ga jelas banget asli kaya toko sebelahlahh yang penting ada akunterverikasibayar pakai apapun berkali dg akun yang sama tidak ada masalah kalau ada yang ribeettt sedang apa dibuat gampang begitukah konsepnya,negatif
sistem belum cerdas customer jadi korban tidak bisa menggunakan promo karena belum sesuai sk lebih cerdas marketplace orange sudah cek ke tokopedia care jawaban tidak jelas cuma di kasih point m dsb tapi tidak detail transaksi apa yang sudah di langgar dan tidak ada solusi,negatif
sekarang tokopedia sistemnya dalam pengiriman selalu ganti kurir misal awalnya pakai jne atau yang lainnya ujungnya di oper ke sapx mana pengirimannya sangat lambat kadang alasan alamat gak di temukan dan banyak alasan lain jadi ribet sekarang ini gak kaya dulu,negatif
sebenarnya pakai tokopedia sudah lama tapi akhir ini sejak ada kurir rekomendasi saya jadi males karena pengiriman jadi lama bisa pindah ekspedisi gitu kalopun ga pindah juga ekspedisi yang dipake lemotnya minta ampun kayak id express dan sapx kurir rekomendasi nya ga kompeten banget,negatif
aplikasinya sih oke tapi akhir² pengiriman pesanan pambat banget pdhl udh langganan plus juga lebih baik beli toko oren pengirimannya pakai kurir yang ga lambat dan free ongkos kirim tanpa perlu bayar langganan plus rb,positif
saya suka belanja di toped tetapi kurir rekomendasi tidak bisa tepat waktu padahal kita butuh barangnya cepat waktu investigasi kurirnya juga lama harus ada penilaian kurir biar tidak seenaknya atau dikasih garansi tepat waktu seperti toko sebelah,negatif
rajin belanja bahkan kena banned promoaneh iniapa karena belanja terus di toko yang samajadi tokopedia kira saya order fiktif saya bayarnya pakai paylater lohjadi bunga dari paylaternya uda pasti jauh lebih gede dari kupon promonyajadi gk ada untungnya buat saya buat order fiktif padahal sebelum sebelumnya gk ada masalahtapi pas yang terakhir transaksinya bahkan ditolak dan kena banned promo,negatif
